Started Log File:     logs/MMTK 2022-09-18 23-57-53-COM6.txt
Data Source:     COM6

NÂþNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	0.00	0.00	5.16	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	5.31	0	3	0	0	0	12.52	1	1	1	1	1	
1	0.00	0.00	5.41	0	3	0	0	0	12.42	1	1	1	1	1	
1	0.00	0.00	5.36	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	5.11	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.72	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.43	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.42	0	3	0	0	0	12.40	1	1	1	1	1	
1	0.00	0.00	4.52	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	4.58	0	3	0	0	0	12.48	1	1	1	1	1	
1	0.00	0.00	4.55	0	3	0	0	0	12.50	1	1	1	1	1	
1	0.00	0.00	4.51	0	3	0	0	0	12.50	1	1	1	1	1	
