Started Log File:     logs/MMTK 2022-09-18 22-21-15-COM6.txt
Data Source:     COM6

jC$þ1	ñNEW_DATA	SPEED	POSITION	LOADCELL	FEEDBACK_COUNT	STATE	ESTOP	STALL	DIRECTION	INPUT_VOLTAGE	BT_FWD	BT_BAK	BT_TARE	BT_START	BT_AUX
1	1000	0.00	0.00	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.31	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-1.05	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-1.72	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-2.06	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-2.36	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.60	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-2.67	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.62	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.49	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-2.40	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.35	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.32	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-2.32	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.32	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.33	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-2.35	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.38	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.39	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.41	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.41	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-2.41	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-2.41	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.42	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-2.42	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.43	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.43	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-2.44	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	-2.45	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.44	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-2.35	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-1.77	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	-0.69	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.17	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	-0.05	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	-0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.03	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.03	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.04	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.03	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	0.02	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.03	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.08	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.06	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.04	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.01	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.07	100	3	0	0	0	12.44	1	1	1	1	1	
1	1000	0.00	0.15	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.18	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.21	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	0.25	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	0.15	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.05	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.30	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.93	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	1.55	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	2.11	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.55	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	2.81	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.03	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.22	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.30	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.28	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.24	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.19	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	3.26	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.50	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.76	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.95	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.00	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.07	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.03	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.90	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	3.90	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	3.88	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.93	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.96	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.08	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	4.23	100	3	0	0	0	12.48	1	1	1	1	1	
1	1000	0.00	4.28	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.21	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.26	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.31	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	4.20	100	3	0	0	0	12.38	1	1	1	1	1	
1	1000	0.00	4.04	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.84	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	3.18	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	1.90	100	3	0	0	0	12.46	1	1	1	1	1	
1	1000	0.00	0.92	100	3	0	0	0	12.44	1	1	1	1	1	
